时间,流派,播放量,歌曲数,平均热度,平均播放量,播放量_万
2019-07,流行,4117416599,145,0.3376,9170192.870824054,411741.66
2019-07,电子,154226664,7,0.3639,6426111.0,15422.67
2019-07,说唱,2582482007,101,0.3422,9125378.116607774,258248.2
2019-08,摇滚,302200642,11,0.3957,5701898.905660378,30220.06
2019-08,流行,4857632925,158,0.3415,8552170.642605634,485763.29
2019-08,电子,138834308,5,0.3466,6941715.4,13883.43
2019-08,说唱,3101930053,107,0.3416,8640473.685236769,310193.01
2019-09,摇滚,174528601,8,0.3873,5817620.033333333,17452.86
2019-09,流行,3520593713,135,0.3554,8483358.344578313,352059.37
2019-09,电子,93584469,4,0.3464,7198805.307692308,9358.45
2019-09,说唱,3199379669,131,0.3279,9354911.312865498,319937.97
2019-10,摇滚,173317086,8,0.3917,5590873.741935484,17331.71
2019-10,流行,3423341001,120,0.3496,8601359.298994975,342334.1
2019-10,电子,119233994,5,0.2231,6624110.777777778,11923.4
2019-10,说唱,2898574099,117,0.3488,8211258.07082153,289857.41
2019-11,摇滚,186546887,8,0.3923,5329911.057142857,18654.69
2019-11,流行,4922938744,146,0.3447,8999888.014625229,492293.87
2019-11,电子,69624608,4,0.2229,6329509.818181818,6962.46
2019-11,说唱,3245538029,125,0.3628,7974294.911547911,324553.8
2019-12,摇滚,365804717,15,0.3084,8313743.568181818,36580.47
2019-12,民谣,41339972,2,0.1136,8267994.4,4134.0
2019-12,流行,4865247303,182,0.3412,10418088.443254817,486524.73
2019-12,电子,41492730,3,0.247,6915455.0,4149.27
2019-12,说唱,2447227181,99,0.3649,8802975.47122302,244722.72
2020-01,摇滚,123772995,6,0.404,5893952.142857143,12377.3
2020-01,流行,5113928588,155,0.3636,9740816.358095238,511392.86
2020-01,电子,69458358,3,0.3667,6314396.181818182,6945.84
2020-01,说唱,4164057630,135,0.3692,9399678.62302483,416405.76
2020-02,摇滚,77657310,4,0.4056,5973639.230769231,7765.73
2020-02,流行,4319657470,165,0.3563,9750919.796839729,431965.75
2020-02,电子,70010848,3,0.3544,6364622.545454546,7001.08
2020-02,说唱,3167130949,112,0.3655,9510903.75075075,316713.09
2020-03,摇滚,65585428,4,0.4028,5962311.636363637,6558.54
2020-03,流行,3438369654,120,0.3609,9498258.712707182,343836.97
2020-03,电子,43705292,2,0.3667,5463161.5,4370.53
2020-03,说唱,4246392042,176,0.3729,10134587.2124105,424639.2
2020-04,摇滚,104636241,5,0.3933,6155073.0,10463.62
2020-04,流行,3349167774,123,0.3631,8290019.242574258,334916.78
2020-04,电子,150561293,7,0.3473,6546143.173913044,15056.13
2020-04,说唱,3368327750,112,0.3741,9461594.803370787,336832.78
2020-05,摇滚,143510925,7,0.3793,5519650.961538462,14351.09
2020-05,流行,4016226051,121,0.372,8332419.192946058,401622.61
2020-05,电子,192595344,7,0.3551,8024806.0,19259.53
2020-05,说唱,4336466716,140,0.3691,9265954.521367522,433646.67
2020-06,摇滚,132263818,10,0.3626,4898659.925925926,13226.38
2020-06,流行,3276091607,127,0.3687,8190229.0175,327609.16
2020-06,电子,168040387,6,0.3711,9884728.647058824,16804.04
2020-06,说唱,3114438309,116,0.3627,8748422.216292135,311443.83
2020-07,摇滚,100334966,8,0.3596,5280787.684210527,10033.5
2020-07,流行,4549973246,155,0.3712,8904057.232876712,454997.32
2020-07,电子,163518034,4,0.3938,10219877.125,16351.8
2020-07,说唱,4049252605,138,0.3278,8919058.601321585,404925.26
2020-08,摇滚,93613823,4,0.4022,5850863.9375,9361.38
2020-08,流行,3921487124,142,0.3658,8562198.96069869,392148.71
2020-08,电子,118008656,4,0.3744,7867243.733333333,11800.87
2020-08,说唱,2772622866,111,0.3432,8915186.064308682,277262.29
2020-09,摇滚,98023480,4,0.4162,6126467.5,9802.35
2020-09,民谣,9403595,1,0.3958,4701797.5,940.36
2020-09,流行,4014311361,140,0.3675,8881219.825221239,401431.14
2020-09,电子,90982992,5,0.3666,6498785.142857143,9098.3
2020-09,说唱,2803542804,98,0.3539,8871970.898734177,280354.28
2020-10,摇滚,206892238,6,0.4217,7134215.1034482755,20689.22
2020-10,民谣,24134940,1,0.3968,4826988.0,2413.49
2020-10,流行,5485572148,166,0.371,8978023.155482816,548557.21
2020-10,电子,94526406,3,0.3738,6751886.142857143,9452.64
2020-10,说唱,3022006466,94,0.363,8862189.049853373,302200.65
2020-11,摇滚,178279681,9,0.404,6602951.148148148,17827.97
2020-11,流行,4776295712,173,0.3785,9458011.31089109,477629.57
2020-11,电子,58450339,3,0.3686,5845033.9,5845.03
2020-11,说唱,2307468455,83,0.3593,8943676.182170542,230746.85
2020-12,摇滚,459507542,19,0.3591,8836683.5,45950.75
2020-12,民谣,50593364,3,0.3322,8432227.333333334,5059.34
2020-12,流行,5437560833,173,0.3826,11399498.60167715,543756.08
2020-12,电子,115009539,5,0.3554,8846887.615384616,11500.95
2020-12,说唱,2542972532,93,0.383,10091160.841269841,254297.25
2021-01,摇滚,350096959,19,0.3563,6483277.018518519,35009.7
2021-01,民谣,32041156,3,0.381,5340192.666666667,3204.12
2021-01,流行,5264722763,166,0.3797,8908160.343485618,526472.28
2021-01,电子,148240917,4,0.3914,9265057.3125,14824.09
2021-01,说唱,2909327266,84,0.3778,8736718.516516516,290932.73
2021-02,摇滚,203289888,13,0.3626,6352809.0,20328.99
2021-02,民谣,33942219,2,0.3855,5657036.5,3394.22
2021-02,流行,2891842704,135,0.3782,8684212.324324325,289184.27
2021-02,电子,89895852,5,0.3846,7491321.0,8989.59
2021-02,说唱,1882771383,89,0.3805,8676365.820276497,188277.14
2021-03,摇滚,319424001,16,0.367,6142769.25,31942.4
2021-03,民谣,25408809,1,0.4081,6352202.25,2540.88
2021-03,流行,4151902876,154,0.3806,9085126.643326038,415190.29
2021-03,电子,110654246,4,0.3929,7903874.714285715,11065.42
2021-03,说唱,2439513124,84,0.3781,8935945.509157509,243951.31
2021-04,摇滚,236358434,14,0.3603,6219958.7894736845,23635.84
2021-04,民谣,19229615,1,0.4085,6409871.666666667,1922.96
2021-04,流行,3373579035,153,0.3821,9242682.287671233,337357.9
2021-04,电子,58551215,2,0.4029,9758535.833333334,5855.12
2021-04,说唱,1786109254,76,0.3842,9500581.138297873,178610.93
