rank,count,danceability,energy,key,mode,time_signature,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
25,221,0.7163122171945702,0.6463257918552036,5.751131221719457,0.5339366515837104,3.986425339366516,-5.96043891402715,0.12159457013574661,0.20673416289592758,0.012006306696832579,0.16521538461538465,0.5101914027149321,117.59333936651583
26,221,0.7088733031674208,0.6241221719457013,5.366515837104072,0.5746606334841629,3.9638009049773757,-5.8624117647058815,0.11434886877828053,0.22272482352941178,0.007113430633484161,0.15567511312217197,0.4990977375565611,120.98456561085973
27,221,0.7011040723981902,0.6531085972850679,5.886877828054299,0.5384615384615384,3.97737556561086,-5.736570135746605,0.09825475113122172,0.20357461538461538,0.0020382253846153845,0.1649022624434389,0.514341628959276,116.08837104072397
28,221,0.7012488687782805,0.6444434389140272,5.46606334841629,0.5158371040723982,3.9547511312217196,-5.81452036199095,0.11795520361990951,0.216685185520362,0.005568878687782806,0.17291855203619907,0.5212226244343892,119.50417194570136
29,221,0.7019004524886877,0.6394796380090497,5.230769230769231,0.5701357466063348,3.9547511312217196,-5.690837104072398,0.11126742081447964,0.22805782352941176,0.003439578009049773,0.15765384615384614,0.502512669683258,118.24230769230769
30,221,0.7091447963800905,0.645316742081448,5.203619909502263,0.5927601809954751,3.9728506787330318,-5.707384615384615,0.12425610859728504,0.19605164253393664,0.004791210904977376,0.15633665158371038,0.5325561085972851,114.46945248868778
31,221,0.7020497737556559,0.6464619909502263,5.289592760180995,0.5701357466063348,3.995475113122172,-5.816755656108597,0.1202651583710407,0.20716280542986423,0.002803878733031674,0.16126334841628956,0.5120018099547511,120.46357918552036
32,221,0.7179728506787328,0.6396651583710408,5.4434389140271495,0.5972850678733032,4.009049773755656,-5.972656108597285,0.11228506787330317,0.21401381447963796,0.008082108552036199,0.155210407239819,0.5056289592760181,120.21779185520361
33,221,0.7055429864253393,0.6451266968325791,5.755656108597285,0.5565610859728507,3.9592760180995477,-5.833126696832579,0.11127963800904977,0.23916182805429867,0.008951894298642534,0.1423185520361991,0.5085334841628959,120.86111312217194
34,221,0.7015656108597285,0.6317963800904978,5.5565610859728505,0.5701357466063348,3.97737556561086,-6.138203619909503,0.12506651583710407,0.23184665158371043,0.011539772488687785,0.15805158371040726,0.4959972850678733,115.85949773755657
35,221,0.6888959276018098,0.6419276018099547,5.158371040723982,0.5882352941176471,3.9683257918552037,-5.917837104072398,0.1200529411764706,0.24102457918552037,0.007431188868778279,0.17058687782805426,0.5090515837104073,119.73280090497738
36,221,0.6977330316742082,0.6362986425339368,4.864253393665158,0.583710407239819,3.981900452488688,-5.841384615384615,0.11795837104072396,0.246085963800905,0.0028364340271493206,0.17141402714932127,0.5103090497737557,120.48891402714932
37,221,0.7117013574660633,0.628447963800905,5.3122171945701355,0.5203619909502263,3.990950226244344,-6.019547511312216,0.1136027149321267,0.23799683257918555,0.007475314705882352,0.15695927601809953,0.5390425339366516,120.24233484162896
38,221,0.7094977375565612,0.6480633484162897,5.6968325791855206,0.5113122171945701,3.9638009049773757,-5.845380090497738,0.11870045248868777,0.21231892307692304,0.002245342805429864,0.15194117647058825,0.5174701357466064,121.43596380090497
39,221,0.7097058823529411,0.6287375565610858,4.9411764705882355,0.5610859728506787,3.981900452488688,-6.006443438914027,0.11891900452488689,0.23166360633484162,0.005132463438914028,0.16533619909502262,0.499879185520362,118.0453257918552
40,221,0.7036425339366515,0.6354932126696833,5.031674208144796,0.6199095022624435,3.9502262443438916,-5.901941176470587,0.1066891402714932,0.22466566515837103,0.007713665339366516,0.1611945701357466,0.5108538461538461,118.33012217194572
41,221,0.7170633484162896,0.6418868778280543,5.167420814479638,0.5746606334841629,3.981900452488688,-6.047149321266969,0.10902488687782803,0.22036144796380086,0.0035396601357466063,0.15517149321266965,0.5057475113122172,116.15952941176471
42,221,0.7155203619909503,0.6403800904977377,5.289592760180995,0.583710407239819,3.990950226244344,-5.878945701357464,0.10477737556561086,0.22147880542986426,0.005622320452488688,0.16897601809954751,0.5395393665158371,115.84917647058825
43,221,0.6993076923076924,0.6443122171945701,5.316742081447964,0.49321266968325794,4.0,-5.83216742081448,0.10657737556561084,0.23801838009049775,0.011228333755656107,0.1560656108597285,0.49078371040723984,116.76850226244345
44,221,0.6969547511312216,0.6509140271493215,5.153846153846154,0.583710407239819,3.9411764705882355,-5.755108597285069,0.10948190045248868,0.23010496380090495,0.002642395475113122,0.16700361990950227,0.5225366515837104,120.14396832579183
45,221,0.7162443438914028,0.6306289592760183,5.3710407239819,0.5882352941176471,3.97737556561086,-6.138434389140271,0.11778461538461539,0.2209361176470588,0.007516716923076924,0.16053212669683256,0.4833710407239819,118.36040271493212
46,221,0.706452488687783,0.6425429864253394,5.321266968325792,0.5746606334841629,3.9457013574660635,-5.951348416289593,0.11257194570135746,0.1963275294117647,0.004591550316742082,0.15372941176470586,0.501975113122172,119.95961990950227
47,221,0.7079864253393665,0.6277104072398192,5.574660633484163,0.5113122171945701,3.981900452488688,-6.064447963800904,0.11433846153846153,0.20386583710407238,0.00314261665158371,0.15998054298642533,0.5095493212669683,118.80368325791856
48,221,0.7158009049773755,0.6391945701357464,5.1945701357466065,0.5656108597285068,3.9457013574660635,-5.9254977375565625,0.10837873303167422,0.2240543076923077,0.010574503529411765,0.17622262443438916,0.5208805429864255,121.81245248868778
49,221,0.6961493212669683,0.6438760180995475,5.239819004524887,0.583710407239819,3.981900452488688,-5.893633484162896,0.10541221719457015,0.23952122171945703,0.006733416425339367,0.1672737556561086,0.5089221719457013,118.90848868778279
50,221,0.7079321266968326,0.6365656108597285,5.027149321266968,0.579185520361991,3.981900452488688,-5.987800904977375,0.11595882352941177,0.257227484162896,0.009920614977375567,0.1618742081447964,0.5353579185520362,121.53126244343892
51,221,0.6902126696832581,0.6279909502262444,5.199095022624435,0.583710407239819,3.986425339366516,-6.094696832579186,0.10261855203619909,0.2557696108597285,0.0034666124434389136,0.16047420814479638,0.509433484162896,117.50375113122173
52,221,0.7050361990950228,0.6501990950226245,5.4343891402714934,0.5565610859728507,3.9592760180995477,-5.868027149321267,0.10123710407239818,0.22940128506787327,0.009232646334841627,0.15322443438914027,0.5330733031674209,120.16966968325792
53,221,0.700972850678733,0.6491357466063349,4.828054298642534,0.5520361990950227,3.9638009049773757,-5.967153846153846,0.12635520361990948,0.23178361085972848,0.010393584434389142,0.16625022624434388,0.5096959276018099,122.00509049773756
54,221,0.7092081447963801,0.6179321266968326,5.1855203619909505,0.5203619909502263,3.9683257918552037,-6.191497737556561,0.12700950226244342,0.22630347058823533,0.007807910407239819,0.18407828054298642,0.4934538461538462,117.86195475113124
55,221,0.7060904977375566,0.641316742081448,5.461538461538462,0.5520361990950227,3.9638009049773757,-6.0356425339366515,0.11568325791855205,0.2307461628959276,0.009108572352941177,0.1607751131221719,0.5117325791855204,116.43353846153845
56,221,0.7073122171945702,0.6368009049773756,5.5610859728506785,0.5384615384615384,3.981900452488688,-6.0740045248868775,0.12206696832579184,0.2251367963800905,0.002903667149321267,0.17028778280542986,0.5091497737556562,117.67019909502261
57,221,0.7064660633484162,0.6383800904977375,5.4434389140271495,0.6380090497737556,3.9683257918552037,-5.972303167420815,0.12394434389140271,0.24760718552036198,0.01776969932126697,0.16899230769230772,0.5083158371040724,119.79409049773757
58,221,0.7068552036199094,0.6479909502262444,5.1900452488687785,0.5203619909502263,3.9728506787330318,-5.742746606334841,0.120431221719457,0.20194285972850673,0.004445312398190046,0.17689773755656105,0.49708687782805433,115.28221719457015
59,221,0.7255384615384615,0.6270452488687783,5.773755656108597,0.5927601809954751,3.990950226244344,-6.081470588235294,0.12222579185520362,0.21915666063348416,0.012735764524886879,0.1582235294117647,0.5052058823529412,118.75191402714933
60,221,0.707710407239819,0.6191855203619911,5.3076923076923075,0.5927601809954751,3.97737556561086,-6.1266334841628955,0.11838733031674209,0.25975076923076923,0.0054462343891402715,0.15015429864253393,0.5134787330316741,116.48946606334843
61,221,0.7053257918552036,0.6301764705882353,5.153846153846154,0.5927601809954751,3.97737556561086,-6.200126696832579,0.11945429864253394,0.23293522171945702,0.013659695746606335,0.16988461538461538,0.5125158371040723,119.41083710407243
62,221,0.6932081447963802,0.6326696832579185,5.457013574660634,0.5429864253393665,3.9457013574660635,-6.046248868778281,0.11994841628959277,0.22102648416289591,0.002223713303167421,0.1625701357466063,0.49475746606334836,119.70770588235294
63,221,0.705185520361991,0.6310045248868779,5.3031674208144794,0.5656108597285068,3.97737556561086,-6.104828054298642,0.11890271493212667,0.24928325791855205,0.004537539140271493,0.18529004524886875,0.511231221719457,119.01075113122171
64,221,0.683819004524887,0.6357239819004524,5.289592760180995,0.5384615384615384,3.9728506787330318,-6.073986425339367,0.10481719457013575,0.24205144796380088,0.009165356470588235,0.174662443438914,0.4978927601809955,117.8569140271493
65,221,0.6957737556561087,0.6319909502262444,5.339366515837104,0.5339366515837104,3.9683257918552037,-6.132733031674207,0.11274841628959276,0.2261233484162896,0.010382155384615387,0.15107737556561088,0.495387330316742,117.86119457013577
66,221,0.708,0.6459547511312217,5.579185520361991,0.5475113122171946,3.986425339366516,-5.866579185520362,0.121910407239819,0.22754119004524886,0.003952382760180996,0.15788959276018102,0.5121760180995475,119.66019457013574
67,221,0.6960407239819004,0.6311900452488688,4.97737556561086,0.5248868778280543,3.9592760180995477,-6.043651583710407,0.1027285067873303,0.24161751131221718,0.008177892171945702,0.16946470588235296,0.5042447963800906,116.45246153846153
68,221,0.7042081447963802,0.6444117647058824,5.714932126696833,0.5520361990950227,3.9728506787330318,-6.028873303167421,0.11931674208144796,0.2364217149321267,0.007439105022624436,0.17817058823529414,0.49409502262443444,119.40471493212671
69,221,0.7065610859728508,0.6426877828054299,5.746606334841629,0.5882352941176471,3.995475113122172,-5.971751131221717,0.12769411764705882,0.2236811990950226,0.009209533981900454,0.16312443438914026,0.5042316742081447,120.39194117647058
70,221,0.7000316742081447,0.6288597285067874,5.425339366515837,0.5565610859728507,4.0,-6.071846153846154,0.11974162895927601,0.20929823529411765,0.0057713718552036206,0.16340361990950228,0.5292040723981901,117.08901357466063
71,221,0.7061131221719458,0.6355972850678733,5.457013574660634,0.5520361990950227,3.986425339366516,-6.138117647058823,0.11120045248868779,0.23515397285067877,0.010503590407239822,0.18037963800904977,0.5102968325791856,122.35104524886879
