歌手,歌曲数,总播放量,平均热度,上榜次数,榜单
井迪儿,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
井胧/伯远/甘望星/邵明明,2,0,,1,['巅峰榜·流行指数']
井胧/井迪儿,1,0,,1,['巅峰榜·流行指数']
井宿,1,0,,1,['巅峰榜·内地']
五条人,1,0,,1,['巅峰榜·内地']
五月天/陈绮贞,1,0,,1,['巅峰榜·流行指数']
五月天/孙燕姿,1,0,,1,['巅峰榜·流行指数']
五月天,13,0,,9,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
云狗蛋,1,0,,1,['巅峰榜·新歌']
云汐/甜鱼 NoSweet,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
云汐,6,0,,5,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
云朵,2,0,,3,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
云南顶呱呱南瓜,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
于贞/龚琳娜,1,0,,1,['巅峰榜·内地']
于贞,2,0,,2,['巅峰榜·内地']
于睿迪/梁铭琛,1,0,,1,['巅峰榜·新歌']
任然/王以诺/陈峥嵘,1,0,,1,['巅峰榜·新歌']
任然,12,0,,12,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
任泽华,1,0,,1,['巅峰榜·内地']
任夏,12,0,,9,"['巅峰榜·流行指数', '巅峰榜·新歌']"
任嘉伦,3,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
代少冬/韩佩泉Amir/NexT1DE-胡烨韬/周柯宇,1,0,,1,['巅峰榜·新歌']
付豪,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
付育玮,1,0,,1,['巅峰榜·内地']
付俊乐,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
今晚离岸,1,0,,1,['巅峰榜·新歌']
人面兽心/花凯,1,0,,1,['巅峰榜·新歌']
京剧·吴昊,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
亦勋,1,0,,1,['巅峰榜·内地']
亦伊,1,0,,1,['巅峰榜·流行指数']
亚东,1,0,,1,['巅峰榜·流行指数']
井闪闪,1,0,,1,['巅峰榜·新歌']
何仟仟,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
佑龙,1,0,,1,['巅峰榜·热歌']
伯远,3,0,,2,['巅峰榜·新歌']
伯贤 (백현)/道英 (도영),1,0,,1,['巅峰榜·新歌']
伯贤 (백현),6,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
伯爵Johnny/唐伯虎Annie,1,0,,1,['巅峰榜·流行指数']
伦桑/张曦匀,1,0,,1,['巅峰榜·流行指数']
伤心欲绝,1,0,,1,['巅峰榜·内地']
伞,1,0,,1,['巅峰榜·内地']
会遇到吗,1,0,,1,['巅峰榜·流行指数']
伏仪,2,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
伍泓毅,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
伍佰 & China Blue,3,0,,3,"['巅峰榜·热歌', '巅峰榜·流行指数']"
伊格赛听/文雯Claire,1,0,,1,['巅峰榜·流行指数']
伊格赛听/叶里,1,0,,1,['巅峰榜·流行指数']
企鹅干部,1,0,,1,['巅峰榜·内地']
余超颖,5,0,,5,"['巅峰榜·流行指数', '巅峰榜·新歌']"
余火火,4,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
余梓桾X张子薇,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
余意Yu1,1,0,,1,['巅峰榜·内地']
余偲橙/周迪Lion,1,0,,1,['巅峰榜·内地']
余佳运,7,0,,9,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·内地']"
何雨溪/KyL3,1,0,,1,['巅峰榜·流行指数']
何野,1,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数']"
何道明,2,0,,2,['巅峰榜·内地']
何深彰,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
何浩楠,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
何洁/苏醒AllenSu,1,0,,1,['巅峰榜·新歌']
何欢浪,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
何曼婷,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
何德瑞/十七/孙滢皓/亿轩,1,0,,1,['巅峰榜·流行指数']
何屹繁/贵尚奇/上原一翔 (ICHIKA)/王孝辰,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
傅如乔,1,0,,2,['巅峰榜·流行指数']
倩门西,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
俞更寅/高卿尘Nine/米卡/尹浩宇Patrick,2,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
俞宙 (유주),1,0,,1,['巅峰榜·新歌']
侯贝贝,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
侯泽润,8,0,,5,"['巅峰榜·流行指数', '巅峰榜·新歌']"
侯江浩,1,0,,1,['巅峰榜·新歌']
侯春蕾,4,0,,4,['巅峰榜·内地']
侯博远,1,0,,1,['巅峰榜·内地']
侯东Holdon/Kevin罗凯文,1,0,,1,['巅峰榜·内地']
侃迪kandi,1,0,,1,['巅峰榜·流行指数']
侃侃,1,0,,1,['巅峰榜·内地']
佳艺,1,0,,1,['巅峰榜·新歌']
你的上好佳,3,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
你星Official,3,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
你们的好朋友大雨,1,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
关浩德Walter,3,0,,3,"['巅峰榜·新歌', '巅峰榜·内地']"
关喆,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
关剑/阿豪/何解一,1,0,,1,['巅峰榜·流行指数']
关剑,1,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
兰天奇,1,0,,1,['巅峰榜·内地']
八仙 8Immortals,1,0,,1,['巅峰榜·内地']
八三夭乐团/告五人,1,0,,1,['巅峰榜·内地']
八三夭乐团,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·内地']"
全幺九,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
克里/南乔,1,0,,1,['巅峰榜·新歌']
克里,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
克拉松kkls,1,0,,1,['巅峰榜·内地']
光泽,2,0,,2,"['巅峰榜·热歌', '巅峰榜·内地']"
元气牛油果,2,0,,2,['巅峰榜·内地']
傻子与白痴/魏如萱,1,0,,1,['巅峰榜·内地']
傅梦彤,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·内地']"
几度,1,0,,1,['巅峰榜·流行指数']
凌零,1,0,,1,['巅峰榜·内地']
凌佳,1,0,,1,['巅峰榜·内地']
冼家逴,3,0,,3,['巅峰榜·内地']
冷水AquaCold,1,0,,1,['巅峰榜·内地']
冰尧/星弟,1,0,,1,['巅峰榜·内地']
冯提莫/QQ飞车,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
冯希瑶,1,0,,1,['巅峰榜·新歌']
冯午宁,1,0,,1,['巅峰榜·内地']
冯一仔,1,0,,1,['巅峰榜·内地']
冬天吃了秋天/CK梨/142,1,0,,1,['巅峰榜·内地']
冬天吃了秋天/CK梨,1,0,,1,['巅峰榜·内地']
冬,1,0,,1,['巅峰榜·流行指数']
冉冉/傅如一,1,0,,1,['巅峰榜·流行指数']
冀乐桐,2,0,,2,['巅峰榜·内地']
养鱼的缸,1,0,,1,['巅峰榜·内地']
刘德华,2,0,,3,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
刘家奇阿,1,0,,1,['巅峰榜·新歌']
刘宇轩,3,0,,3,['巅峰榜·内地']
刘宇宁,11,0,,10,"['巅峰榜·流行指数', '巅峰榜·新歌']"
刘宇,4,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
刘大拿,2,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
刘大壮,4,0,,3,['巅峰榜·新歌']
刘可以,1,0,,1,['巅峰榜·新歌']
刘凤瑶,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
刘兆宇/张德伊玲,1,0,,1,['巅峰榜·新歌']
分餐制度,2,0,,2,['巅峰榜·内地']
刀酱,1,0,,1,['巅峰榜·新歌']
刀郎,5,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
凹与山,1,0,,1,['巅峰榜·内地']
凶狠凯蒂,1,0,,1,['巅峰榜·内地']
凤凰传奇,3,0,,8,"['巅峰榜·热歌', '巅峰榜·流行指数']"
刘烨溦,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
刘炫廷,1,0,,1,['巅峰榜·内地']
刘森,1,0,,1,['巅峰榜·内地']
刘晓超,3,0,,3,['巅峰榜·新歌']
刘晓盈,1,0,,1,['巅峰榜·内地']
刘明湘,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
刘明军,1,0,,1,['巅峰榜·新歌']
刘惜君/王赫野,1,0,,1,['巅峰榜·流行指数']
刘惜君,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
刘恋,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
刘思达,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
刘思涵,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
刘思思,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
刘忻/遗忘俱乐部,1,0,,1,['巅峰榜·内地']
刘心,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
刘德华/倪妮,1,0,,1,['巅峰榜·新歌']
初月,1,0,,1,['巅峰榜·新歌']
创造营2021,1,0,,1,['巅峰榜·新歌']
刘鹿琪,1,0,,1,['巅峰榜·内地']
刘馨蔚,1,0,,1,['巅峰榜·新歌']
刘雨昕/阿云嘎,1,0,,1,['巅峰榜·流行指数']
刘雨昕,7,0,,6,"['巅峰榜·流行指数', '巅峰榜·新歌']"
刘阳阳,5,0,,4,"['巅峰榜·热歌', '巅峰榜·新歌']"
刘鑫禹/苏苏老师,1,0,,1,['巅峰榜·新歌']
刘虹位,1,0,,1,['巅峰榜·内地']
刘莉旻,1,0,,1,['巅峰榜·内地']
刘若英,3,0,,7,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
刘芸杉,1,0,,1,['巅峰榜·内地']
刘耀文/张真源/严浩翔,1,0,,1,['巅峰榜·流行指数']
刘耀文,8,0,,4,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
刘瑞琦,5,0,,4,"['巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
刘珂矣,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
十个小张,1,0,,1,['巅峰榜·内地']
十个勤天,1,0,,1,['巅峰榜·新歌']
匠音夫妇,1,0,,1,['巅峰榜·新歌']
北京市少年宫合唱团,1,0,,1,['巅峰榜·流行指数']
化骨龙乐队,1,0,,1,['巅峰榜·内地']
势如,1,0,,1,['巅峰榜·流行指数']
动力火车,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
加勒,2,0,,1,['巅峰榜·新歌']
剑网3/五色石南叶/黄诗扶/Winky诗,1,0,,1,['巅峰榜·新歌']
前男友/situasian张太郎,1,0,,1,['巅峰榜·流行指数']
前男友,1,0,,1,['巅峰榜·内地']
刻奇乐队,2,0,,2,['巅峰榜·内地']
刺猬,1,0,,1,['巅峰榜·内地']
别总灰蒙蒙,1,0,,1,['巅峰榜·新歌']
别叫我虚哥,1,0,,1,['巅峰榜·流行指数']
初生,1,0,,1,['巅峰榜·流行指数']
卢广仲,2,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
卡西恩Cacien,2,0,,2,['巅峰榜·内地']
南游记乐队,1,0,,1,['巅峰榜·内地']
南拳妈妈,1,0,,1,['巅峰榜·流行指数']
南征北战NZBZ,1,0,,1,['巅峰榜·热歌']
单循,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
单依纯/王力宏,1,0,,1,['巅峰榜·流行指数']
单依纯,11,0,,12,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
卓沅,1,0,,1,['巅峰榜·流行指数']
华语群星,1,0,,1,['巅峰榜·流行指数']
华晨宇/马嘉祺/陈卓璇,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
华晨宇/和平精英,1,0,,1,['巅峰榜·新歌']
半阳,1,0,,1,['巅峰榜·新歌']
半吨兄弟/张茜（张惜淇）,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
半吨兄弟,26,0,,12,"['巅峰榜·流行指数', '巅峰榜·新歌']"
午睡留声机/廖俊涛/鞠翼铭/刘炀,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
只有影子/宋玥SONGZer,1,0,,1,['巅峰榜·新歌']
古月娜,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
古巨基,2,0,,7,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
发光曲线,1,0,,1,['巅峰榜·内地']
双笙 (陈元汐),2,0,,2,"['巅峰榜·新歌', '巅峰榜·内地']"
叁伏便利店,1,0,,1,['巅峰榜·内地']
厦门六中合唱团,1,0,,1,['巅峰榜·新歌']
原来是萝卜丫,1,0,,1,['巅峰榜·新歌']
原子邦妮,1,0,,1,['巅峰榜·内地']
印子月,2,0,,2,"['巅峰榜·新歌', '巅峰榜·内地']"
卫兰,1,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数']"
卧轨的火车,1,0,,1,['巅峰榜·内地']
卢焱恒,1,0,,1,['巅峰榜·新歌']
卢润泽/于一,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
卢润泽,3,0,,4,"['巅峰榜·热歌', '巅峰榜·新歌']"
卢思颖,1,0,,1,['巅峰榜·新歌']
叶里,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
叶蒨文/单依纯,1,0,,1,['巅峰榜·流行指数']
叶蒨文,1,0,,1,['巅峰榜·流行指数']
叶菁菁,1,0,,1,['巅峰榜·新歌']
叶琼琳,1,0,,1,['巅峰榜·内地']
叶炫清/陈雪燃,1,0,,1,['巅峰榜·新歌']
叶炫清/ONER岳岳,1,0,,1,['巅峰榜·新歌']
叶炫清,3,0,,3,['巅峰榜·内地']
叶湘雨,1,0,,1,['巅峰榜·内地']
叶洛洛/扇宝,1,0,,1,['巅峰榜·新歌']
叶枫华/农夫,1,0,,1,['巅峰榜·内地']
叶枫华,2,0,,2,['巅峰榜·内地']
叶斯淳,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
叶子舒,1,0,,1,['巅峰榜·流行指数']
右侧合流,1,0,,1,['巅峰榜·内地']
史一,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
吴九三,1,0,,1,['巅峰榜·新歌']
听音社,1,0,,1,['巅峰榜·内地']
含大仙儿,1,0,,1,['巅峰榜·新歌']
吕大叶/马子林Broma/陈觅Lynne/王以诺,1,0,,2,['巅峰榜·流行指数']
吕口口,17,0,,12,"['巅峰榜·流行指数', '巅峰榜·新歌']"
向思思/袁小葳/潘成（皮卡潘）/卢润泽,1,0,,1,['巅峰榜·流行指数']
向思思/苏二墨,1,0,,1,['巅峰榜·流行指数']
向思思,3,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
后弦,2,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
吉星出租,2,0,,3,"['巅峰榜·热歌', '巅峰榜·流行指数']"
吉丁Kiddin/GZ_Beatz/TangoZ,1,0,,1,['巅峰榜·内地']
司徒兰芳,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
司南,4,0,,3,"['巅峰榜·流行指数', '巅峰榜·内地']"
叶青赛蓝,1,0,,1,['巅峰榜·内地']
叶雨晨.,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
叶雨晨,1,0,,1,['巅峰榜·新歌']
吴雨霏,1,0,,2,['巅峰榜·流行指数']
吴鉴格,2,0,,2,['巅峰榜·内地']
吴芊仪,3,0,,3,['巅峰榜·内地']
吴瑞斯/徐时一,1,0,,1,['巅峰榜·新歌']
吴映香Lúcia,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
吴星娆,1,0,,1,['巅峰榜·内地']
吴建京,1,0,,1,['巅峰榜·内地']
吴岱林,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
吴婧文/姗姗不来迟,1,0,,1,['巅峰榜·新歌']
吴姝凝哇噻呐,3,0,,3,['巅峰榜·内地']
吴垚滔（七月的星期七）,1,0,,1,['巅峰榜·内地']
吴哈尼Yolanda,1,0,,1,['巅峰榜·内地']
吴可儿Woo,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
吴半首,1,0,,1,['巅峰榜·新歌']
吴克群,1,0,,1,['巅峰榜·新歌']
吴依然/亦可,1,0,,1,['巅峰榜·内地']
周柯宇,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
周柏豪,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
周林枫,4,0,,5,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
周杰伦/Lara梁心颐,1,0,,1,['巅峰榜·流行指数']
周杰伦,38,0,,20,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
周文凯,1,0,,1,['巅峰榜·新歌']
周延英（英子-effie）,4,0,,4,['巅峰榜·内地']
周夏影/法老,1,0,,1,['巅峰榜·内地']
周周MG/我是啊曲,1,0,,1,['巅峰榜·内地']
周周MG,2,0,,2,['巅峰榜·内地']
周公,1,0,,2,['巅峰榜·流行指数']
周传雄/陆虎/马嘉祺,1,0,,1,['巅峰榜·流行指数']
周传雄,7,0,,16,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
告五人,6,0,,10,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
呀婵 nancyleung,1,0,,1,['巅峰榜·内地']
吴青峰,3,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
哈利白特/Zkaaai,1,0,,1,['巅峰榜·流行指数']
品冠,1,0,,1,['巅峰榜·流行指数']
哀四杏,2,0,,2,['巅峰榜·内地']
咖菲/猪老三儿,1,0,,1,['巅峰榜·流行指数']
和平和浪,1,0,,1,['巅峰榜·内地']
周鹏霄,3,0,,3,['巅峰榜·内地']
周震南,1,0,,1,['巅峰榜·新歌']
周迅,1,0,,1,['巅峰榜·新歌']
周笔畅/李昊,1,0,,1,['巅峰榜·流行指数']
周潇齐/碧梨,1,0,,1,['巅峰榜·新歌']
周深深/阿布学长,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
周深深,3,0,,2,['巅峰榜·新歌']
周深/王者荣耀,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
周深/Terry Zhong 钟天利,1,0,,1,['巅峰榜·新歌']
周深/GAI周延,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
周深,53,0,,19,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
嘉逸JAYI/潘妮,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·内地']"
嗷耐浪/卢泠 BOBIV,1,0,,1,['巅峰榜·内地']
嗷呜一口仙贝（陈婉琳）,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
喻言,3,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
喵酱油/花玲/爆裂菊是也,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
喝酸奶吃盖盖,1,0,,1,['巅峰榜·流行指数']
善宇,2,0,,2,['巅峰榜·新歌']
善善²²³,1,0,,1,['巅峰榜·新歌']
唐雅雯,1,0,,1,['巅峰榜·内地']
唐艺,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
唐筱优/散人TR,1,0,,1,['巅峰榜·内地']
唐灏MickeyTown,1,0,,1,['巅峰榜·内地']
唐汉霄/王者荣耀,1,0,,1,['巅峰榜·内地']
唐汉霄,6,0,,5,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
唐千云,1,0,,1,['巅峰榜·流行指数']
唐伯虎Annie,6,0,,5,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
壞特？te,1,0,,1,['巅峰榜·内地']
坨坨芭乐,1,0,,1,['巅峰榜·内地']
坠.,2,0,,2,['巅峰榜·新歌']
圣代/Landuo懒惰,1,0,,1,['巅峰榜·内地']
圈9,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
国风集/黄诗扶,1,0,,1,['巅峰榜·新歌']
国风集/吴青峰,1,0,,1,['巅峰榜·新歌']
国风集/五音Jw,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
国风集/Smile_小千,1,0,,1,['巅峰榜·新歌']
国风新语/浮生梦/汐音社,1,0,,1,['巅峰榜·新歌']
回春丹乐队,2,0,,2,['巅峰榜·内地']
回小仙,1,0,,1,['巅峰榜·流行指数']
回唐/江陵,1,0,,1,['巅峰榜·内地']
四熹丸子,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
囍浪,1,0,,1,['巅峰榜·内地']
噔咦嘁,1,0,,1,['巅峰榜·内地']
大哲,1,0,,1,['巅峰榜·新歌']
夜场票Night Ticket,1,0,,1,['巅峰榜·内地']
多尚,1,0,,1,['巅峰榜·流行指数']
多喝芬达/莉亚羊羊,1,0,,1,['巅峰榜·内地']
夏酱_TOKI,1,0,,1,['巅峰榜·流行指数']
夏裕晴/贾祖龙,1,0,,1,['巅峰榜·内地']
夏裕晴,1,0,,1,['巅峰榜·内地']
夏神铁粉,1,0,,1,['巅峰榜·内地']
夏日入侵企画,2,0,,2,['巅峰榜·内地']
夏思远Huswan,1,0,,1,['巅峰榜·内地']
夏子航（2603）,1,0,,1,['巅峰榜·新歌']
夏婉安/孙星辰,1,0,,1,['巅峰榜·内地']
夏婉安,3,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
夏天Alex,2,0,,1,['巅峰榜·流行指数']
夏以岛/一个w,1,0,,1,['巅峰榜·新歌']
声音碎片,1,0,,1,['巅峰榜·内地']
大象先生,1,0,,1,['巅峰榜·内地']
大表哥Sophie,1,0,,1,['巅峰榜·新歌']
大芳,1,0,,1,['巅峰榜·内地']
大美,3,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
大籽,1,0,,5,"['巅峰榜·热歌', '巅峰榜·流行指数']"
大笨,1,0,,1,['巅峰榜·流行指数']
大甜甜,1,0,,1,['巅峰榜·内地']
大潞,2,0,,2,['巅峰榜·新歌']
大波浪,1,0,,1,['巅峰榜·内地']
大欢,1,0,,1,['巅峰榜·新歌']
大橘子,1,0,,1,['巅峰榜·新歌']
大橘为重/只有影子/兰芽yaya/许多葵,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
大摆锤乐队（pendulum ride）,1,0,,1,['巅峰榜·内地']
大张伟,1,0,,1,['巅峰榜·流行指数']
大川Dietry,1,0,,1,['巅峰榜·新歌']
大喜,1,0,,1,['巅峰榜·内地']
姚政,1,0,,1,['巅峰榜·新歌']
姚六一,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
好妹妹乐队,2,0,,2,['巅峰榜·内地']
好多倩,1,0,,1,['巅峰榜·新歌']
好乐团,2,0,,2,['巅峰榜·内地']
奶酪ovo,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
奥斯卡OZCARWANG/周柯宇/谷柳霖/凌箫,1,0,,1,['巅峰榜·新歌']
奕sir,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
奇然/沈谧仁,1,0,,1,['巅峰榜·流行指数']
失联深海MissingDepth,1,0,,1,['巅峰榜·内地']
太白Great White Planet,1,0,,1,['巅峰榜·内地']
太帅了花,1,0,,1,['巅峰榜·内地']
太妍 (태연)/IMLAY,1,0,,1,['巅峰榜·新歌']
太一,4,0,,4,['巅峰榜·内地']
天津李四,1,0,,1,['巅峰榜·新歌']
大都会乐团,1,0,,1,['巅峰榜·内地']
婉枫/张朕,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
娜琏 (나연)/필릭스 (Felix),1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
娜琏 (나연)/Wonstein (원슈타인),1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
娜琏 (나연),1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
威神V(WayV),6,0,,2,['巅峰榜·新歌']
姜铭杨,1,0,,1,['巅峰榜·内地']
姜辰辰,1,0,,1,['巅峰榜·新歌']
姜昕,1,0,,1,['巅峰榜·内地']
姜昇润 (강승윤),1,0,,1,['巅峰榜·新歌']
姜姜,2,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
姜云升/鞠婧祎/说唱者联盟,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
姜云升,3,0,,3,"['巅峰榜·新歌', '巅峰榜·内地']"
姚语桐,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
姚琛,4,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
姚晓棠/白小白,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
姚晓棠/家家,1,0,,1,['巅峰榜·流行指数']
孟子坤/马也_Crabbit/WYAN王毓千,1,0,,1,['巅峰榜·内地']
孟子义/李昀锐,1,0,,1,['巅峰榜·新歌']
孟佳,1,0,,1,['巅峰榜·新歌']
孙鹏凯,1,0,,1,['巅峰榜·流行指数']
孙盛希,2,0,,2,"['巅峰榜·热歌', '巅峰榜·内地']"
孙燕窝,1,0,,1,['巅峰榜·流行指数']
孙燕姿,3,0,,14,"['巅峰榜·热歌', '巅峰榜·流行指数']"
孙毅然,1,0,,1,['巅峰榜·新歌']
孙楠/韩红/黄绮珊/古巨基,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
孙楠/周深,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
孙楠,2,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
孙晨,1,0,,1,['巅峰榜·流行指数']
孙小雅,1,0,,1,['巅峰榜·新歌']
孙宁侠,1,0,,1,['巅峰榜·内地']
孙子涵,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
孙北玄Bay,1,0,,1,['巅峰榜·新歌']
宋倩,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
宋亚轩/容祖儿,1,0,,1,['巅峰榜·流行指数']
宋亚轩,3,0,,3,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
安藤裕子 (あんどう ゆうこ),1,0,,1,['巅峰榜·新歌']
安扬,2,0,,2,['巅峰榜·内地']
安娜其,1,0,,1,['巅峰榜·内地']
安妮酱,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
