歌手,歌曲数,总播放量,平均热度,上榜次数,榜单
DaXxx杨佳蕊/Cifer,1,0,,1,['巅峰榜·新歌']
DaXxx杨佳蕊,2,0,,2,['巅峰榜·内地']
DP龙猪/阿水SWEI/Rays陈袁,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
DJ小姨,1,0,,1,['巅峰榜·流行指数']
DJ力神,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
DJHZ华仔,1,0,,1,['巅峰榜·流行指数']
DJ 零源,1,0,,1,['巅峰榜·内地']
DJ Snake/Justin Bieber,1,0,,1,['巅峰榜·流行指数']
DBAA,1,0,,1,['巅峰榜·内地']
DAZI,1,0,,1,['巅峰榜·内地']
DAWN,1,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数']"
EXID (이엑스아이디),1,0,,1,['巅峰榜·新歌']
ETA乐队,1,0,,1,['巅峰榜·内地']
EINK/鼠尾草/FEEEleven/DANNYK,1,0,,1,['巅峰榜·内地']
Dynamicduo (다이나믹 듀오)/李泳知 (이영지),1,0,,1,['巅峰榜·新歌']
Duzzy,2,0,,2,"['巅峰榜·新歌', '巅峰榜·内地']"
Dreamon乐队（橘猫乐队）,1,0,,1,['巅峰榜·内地']
Dr.Free,2,0,,2,['巅峰榜·内地']
DoubleS.帥帥,1,0,,1,['巅峰榜·内地']
Don7,3,0,,1,['巅峰榜·新歌']
Doja Cat/Ariana Grande,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Doja Cat,1,0,,1,['巅峰榜·新歌']
Doggie/黄子韬,1,0,,1,['巅峰榜·内地']
Doggie/徐艺洋,1,0,,1,['巅峰榜·内地']
Dj小裕Remix,1,0,,1,['巅峰榜·新歌']
DjFreshkinho,1,0,,1,['巅峰榜·流行指数']
Dia (디아),1,0,,1,['巅峰榜·流行指数']
FLXQ,1,0,,1,['巅峰榜·内地']
FAT_XXX,1,0,,1,['巅峰榜·内地']
FACEVOID桃心脸哥/lil milk,1,0,,1,['巅峰榜·内地']
F.O.H安予衡,1,0,,1,['巅峰榜·内地']
F.I.R.飞儿乐团,4,0,,3,"['巅峰榜·热歌', '巅峰榜·流行指数']"
Eve,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Evan李韩宇,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
Eternal N/林永琪/格莱美汇（ClubGalame）/Taisheng Music,1,0,,1,['巅峰榜·内地']
Eric周兴哲,1,0,,1,['巅峰榜·流行指数']
Epik High (에픽하이)/Colde (콜드),1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
EnjiA魏恩佳,3,0,,3,['巅峰榜·内地']
Energy,1,0,,1,['巅峰榜·流行指数']
Elvis/Tiam,1,0,,1,['巅峰榜·内地']
Eddie Chen,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Ed Sheeran,3,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
EXO (엑소),8,0,,10,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
GAI周延,3,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
G.E.M. 邓紫棋,30,0,,18,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
Fur,1,0,,1,['巅峰榜·内地']
FrogMonster/GATTÜSO/KZ Tandingan,1,0,,1,['巅峰榜·内地']
FrogMonster,1,0,,2,['巅峰榜·流行指数']
Freesol,1,0,,1,['巅峰榜·内地']
Franky弗兰奇,1,0,,1,['巅峰榜·内地']
Flipped,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
FiFi Zhang,1,0,,1,['巅峰榜·内地']
Feiii,1,0,,1,['巅峰榜·内地']
Faye 詹雯婷/黄旭/王以太,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Faye 詹雯婷,1,0,,4,"['巅峰榜·热歌', '巅峰榜·流行指数']"
Fatrik/L1NO,1,0,,1,['巅峰榜·新歌']
FPX/Chrissy Costanza/Against the Current,1,0,,1,['巅峰榜·新歌']
FOX胡天渝/MiMi李紫婷,1,0,,1,['巅峰榜·内地']
FLYSBR,1,0,,1,['巅峰榜·新歌']
Ghost (王琳凯)/Sueco,1,0,,1,['巅峰榜·新歌']
Ghost (王琳凯),6,0,,4,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
Gavin DeGraw,1,0,,1,['巅峰榜·流行指数']
Gaston庞加斯顿,1,0,,1,['巅峰榜·流行指数']
Gareth.T,3,0,,3,"['巅峰榜·新歌', '巅峰榜·内地']"
Gabry Ponte,1,0,,1,['巅峰榜·新歌']
GTR7,1,0,,1,['巅峰榜·新歌']
GT/K. Zoom,1,0,,1,['巅峰榜·内地']
GT,1,0,,1,['巅峰榜·内地']
GJ/HOLYWEE01,1,0,,1,['巅峰榜·内地']
GJ,1,0,,1,['巅峰榜·新歌']
GALA,3,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
GAI周延/康姆士乐团,1,0,,1,['巅峰榜·流行指数']
GAI周延/布瑞吉Bridge,1,0,,1,['巅峰榜·内地']
GAI周延/功夫胖KUNGFU-PEN/盛宇D-SHINE/KEY.L刘聪,1,0,,1,['巅峰榜·新歌']
GAI周延/VaVa娃娃/威尔Will.T,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
HOYO-MiX,1,0,,1,['巅峰榜·新歌']
HLHS,2,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
HITA,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
HINA,1,0,,1,['巅峰榜·内地']
HAYA乐团,1,0,,1,['巅峰榜·内地']
HAO,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
HANNA 马明晗/PLANSCHANGE,1,0,,1,['巅峰榜·内地']
H.E.R./Chris Brown,1,0,,1,['巅峰榜·流行指数']
H-Slang & Choco,1,0,,1,['巅峰榜·流行指数']
Gzzzzz,1,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Gzzzz,1,0,,1,['巅峰榜·新歌']
Gumperti,1,0,,1,['巅峰榜·新歌']
GooGoo/王之睿,1,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数']"
GooGoo,2,0,,3,"['巅峰榜·热歌', '巅峰榜·新歌']"
Gill·吉尔,1,0,,1,['巅峰榜·内地']
Gibb-Z,1,0,,1,['巅峰榜·内地']
Hushi,1,0,,1,['巅峰榜·新歌']
Huiyi,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Hoàng Thùy Linh,1,0,,1,['巅峰榜·流行指数']
Hoo!,1,0,,1,['巅峰榜·内地']
Hillsong Young & Free,1,0,,1,['巅峰榜·流行指数']
Hi Noise,1,0,,1,['巅峰榜·流行指数']
Hello Nico,1,0,,1,['巅峰榜·内地']
Heaven J,1,0,,1,['巅峰榜·内地']
Hearts2Hearts,2,0,,2,['巅峰榜·新歌']
Hayden James/Boy Matthews,1,0,,1,['巅峰榜·流行指数']
Hawk Nelson/Jonathan Steingard,1,0,,1,['巅峰榜·流行指数']
Harry/说唱者联盟,1,0,,1,['巅峰榜·内地']
Harry/张少爷ZEROFIREMAKER,1,0,,1,['巅峰榜·内地']
Hardwal,1,0,,1,['巅峰榜·流行指数']
Hamor张志龙,1,0,,1,['巅峰榜·内地']
Half cat,1,0,,1,['巅峰榜·内地']
JENNIE (제니),1,0,,1,['巅峰榜·新歌']
JA符龙飞,2,0,,2,['巅峰榜·内地']
J.Sheon,1,0,,2,['巅峰榜·流行指数']
Interupt/Luna LePage,1,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Imagine Dragons,2,0,,2,['巅峰榜·新歌']
IZ*ONE (아이즈원),2,0,,1,['巅峰榜·新歌']
IVE (아이브),2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
IU (아이유),6,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
ITZY (있지),4,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
INTO1,2,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
IN-K/王忻辰/苏星婕,1,0,,1,['巅峰榜·流行指数']
IN-K/王忻辰,2,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数']"
IN-K/安苏羽/傅梦彤,1,0,,2,['巅峰榜·流行指数']
ILLIT (아일릿),5,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
IDKAATAL/电音联盟,1,0,,1,['巅峰榜·内地']
ICE杨长青,1,0,,1,['巅峰榜·内地']
JerryH,1,0,,1,['巅峰榜·内地']
Jerrosl4/D.L,1,0,,1,['巅峰榜·内地']
Jeremy Zucker,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Jeff Jarvis,1,0,,1,['巅峰榜·流行指数']
Jeff,1,0,,1,['巅峰榜·流行指数']
Jayne,1,0,,1,['巅峰榜·新歌']
Jaymes Young,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Jay Loy,1,0,,1,['巅峰榜·内地']
Jax,1,0,,1,['巅峰榜·新歌']
JandZ,1,0,,1,['巅峰榜·流行指数']
Jameshat 剑哈,1,0,,1,['巅峰榜·内地']
James Blunt/张杰,1,0,,1,['巅峰榜·新歌']
JVKE/Charlie Puth,1,0,,1,['巅峰榜·流行指数']
JSore,1,0,,1,['巅峰榜·内地']
JISOO (지수),2,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
JING JING,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
KAFE_HU咖啡胡/李吉吉,1,0,,1,['巅峰榜·内地']
K.Yao刘可瑶,3,0,,3,['巅峰榜·内地']
K.D/国风集,1,0,,1,['巅峰榜·内地']
K.D,5,0,,5,"['巅峰榜·新歌', '巅峰榜·内地']"
Justin Bieber/Ludacris/Usher/Snoop Dogg,1,0,,1,['巅峰榜·新歌']
Justin Bieber/Daniel Caesar/GIVĒON,1,0,,1,['巅峰榜·新歌']
Justin Bieber/Alpha P/Omah Lay,1,0,,1,['巅峰榜·流行指数']
JungMoon珍珠鼠,1,0,,1,['巅峰榜·内地']
Jung Kook/Jack Harlow,1,0,,1,['巅峰榜·新歌']
Joyside,1,0,,1,['巅峰榜·内地']
Joysaaaa,5,0,,4,"['巅峰榜·新歌', '巅峰榜·内地']"
Joji,1,0,,1,['巅峰榜·内地']
JohnyFxxkDaCode,1,0,,1,['巅峰榜·内地']
Jinx周君怡,1,0,,1,['巅峰榜·内地']
JigglePuff/林雨晴/陈睿凡/Terry_Tang,1,0,,1,['巅峰榜·内地']
Jessi (제시),1,0,,1,['巅峰榜·新歌']
Kehlani/Justin Bieber,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Kbz小猪,2,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Kauapk,2,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Katie Sky,1,0,,1,['巅峰榜·流行指数']
Kartashow/玛丽Mari Kraimbrery,1,0,,1,['巅峰榜·流行指数']
Kacey Musgraves,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
KUNG 龚敬文,1,0,,1,['巅峰榜·内地']
KOKIA (吉田亚纪子),1,0,,1,['巅峰榜·流行指数']
KM LYK/R3T3,1,0,,1,['巅峰榜·新歌']
KKA,1,0,,1,['巅峰榜·内地']
KEYI杨豪,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
