歌手,年份,歌曲数,平均热度,上榜次数
陶喆,2023,2,0.01,3
陶喆,2024,4,0.01,11
陶喆,2025,5,0.01,14
青鸟飞鱼,2022,1,0.01,3
青鸟飞鱼,2023,1,0.01,2
青鸟飞鱼,2024,1,0.01,4
青鸟飞鱼,2025,1,0.01,3
魏佳艺,2021,1,0.01,1
魏佳艺,2022,5,0.01,6
魏佳艺,2023,5,0.01,7
鹿晗,2022,1,0.01,1
鹿晗,2023,3,0.01,3
鹿晗,2024,2,0.01,2
鹿晗,2025,5,0.01,6
