歌曲名,歌手,榜单,总播放量,平均热度,上榜次数,最佳排名,榜单排名
Catch My Breath (降调版),Lin Nabel,['巅峰榜·新歌'],0,,1,0,124
Catch My Breath (Feat.Kelly Clarkson),NB69A,['巅峰榜·新歌'],0,,1,0,125
Catch My Breath,Kelly Clarkson,"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,2,0,126
Carolina (From The Motion Picture “Where The Crawdads Sing”),Taylor Swift,['巅峰榜·新歌'],0,,1,0,127
Candy,NCT DREAM (엔시티 드림),['巅峰榜·新歌'],0,,1,0,128
Call Me Now,Michael Calfan/INNA,['巅峰榜·流行指数'],0,,1,0,129
Call Me Maybe,Carly Rae Jepsen,"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,1,0,130
Call Me End (山花终将灿烂),Tamboss,['巅峰榜·新歌'],0,,1,0,131
CUT IT UP,So Far So Good 恰好乐队,['巅峰榜·内地'],0,,1,0,132
CRY FOR ME,TWICE (트와이스),['巅峰榜·新歌'],0,,1,0,133
COPDD,宋雨琦 (YUQI) (우기)/穿越火线手游,['巅峰榜·热歌'],0,,1,0,134
COLOR BLIND,袁娅维TIA RAY,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,135
COCO,侃迪kandi,['巅峰榜·流行指数'],0,,1,0,136
ByeBye2024（拼好歌）,Zeho傅子豪/Jiaber吴伯滔,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,137
By your side,刘凤瑶,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,138
Cute Baby,Flipped,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,139
Cut it Off,Slowly,['巅峰榜·内地'],0,,1,0,140
Cry For Me (感觉至上),Yg/Zeroy,['巅峰榜·新歌'],0,,1,0,141
Cry For Me (feat. Ami) (为我哭泣),Michita (ミチタ),"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,2,0,142
Cry For Love,伯贤 (백현),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,143
Crush On,卢思颖,['巅峰榜·新歌'],0,,1,0,144
Cruel Summer,Taylor Swift,"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,2,0,145
Counting Stars (Feat. Beenzino),BE'O (비오)/Beenzino (빈지노),['巅峰榜·新歌'],0,,1,0,146
Coming For Ya,ETA乐队,['巅峰榜·内地'],0,,1,0,147
Come Through (Explicit),H.E.R./Chris Brown,['巅峰榜·流行指数'],0,,1,0,148
Collapse,Jameshat 剑哈,['巅峰榜·内地'],0,,1,0,149
Cloud Shapes (电影《门锁》插曲）,金車厘子,['巅峰榜·内地'],0,,1,0,150
Christmas Love,Schoolgirl byebye,['巅峰榜·内地'],0,,1,0,151
Cherry,江迟同学,['巅峰榜·内地'],0,,1,0,152
Changes Pt.1,4EVER,['巅峰榜·内地'],0,,1,0,153
Cfbdsir2149,周夏影/法老,['巅峰榜·内地'],0,,1,0,154
Deep end (필릭스)(Deep end (Felix)),Stray Kids (스트레이 키즈)/필릭스 (Felix),['巅峰榜·新歌'],0,,1,0,155
Dear John,比莉,"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,1,0,156
Dear John,杨宝心,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,157
Dear Friend,祁紫檀,['巅峰榜·内地'],0,,1,0,158
